"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"2","C1","1","C","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"3","D1, D2","2","LED","LED_THT:LED_D3.0mm",""
"4","J1","1","Conn_01x08_Socket","Connector_Harwin:Harwin_M20-89008xx_1x08_P2.54mm_Horizontal",""
"5","J2","1","Conn_01x04","Connector_Harwin:Harwin_M20-89004xx_1x04_P2.54mm_Horizontal",""
"6","J3","1","Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type701_RT11L02HGLU_1x02_P6.35mm_Horizontal",""
"7","R1","1","47k","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",""
"8","R2, R3","2","R","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",""
"9","SW1, SW2, SW3, SW4, SW5","5","SW_Push","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile",""
"10","U1","1","DHT11","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm",""
"11","U2","1","MSP430G2553IN20","Package_DIP:DIP-20_W7.62mm",""
"12","Y0","1","32kHz","Crystal:Crystal_DS26_D2.0mm_L6.0mm_Vertical",""
